date ,painkiller_usage,study_hours_daily ,exam_period ,coffee_consumption
01.06.2025,No,05:00:00,No,yes
02.06.2025,yes,07:00:00,yes,yes
03.06.2025,No,04:00:00,yes,yes
04.06.2025,No,08:00:00,yes,yes
05.06.2025,No,04:00:00,yes,yes
06.06.2025,No,00:00:00,No,yes
07.06.2025,No,00:00:00,No,yes
08.06.2025,yes,00:00:00,No,no
09.06.2025,No,00:00:00,No,yes
10.06.2025,yes,00:00:00,No,yes
11.06.2025,No,00:00:00,No,yes
12.06.2025,No,00:00:00,No,no
13.06.2025,No,00:00:00,No,yes
14.06.2025,No,00:00:00,No,yes
15.06.2025,yes,00:00:00,No,yes
16.06.2025,No,00:00:00,No,yes
17.06.2025,No,00:00:00,No,yes
18.06.2025,No,00:00:00,No,yes
19.06.2025,No,00:00:00,No,yes
20.06.2025,No,00:00:00,No,no
20.06.2025,No,00:00:00,No,no
21.06.2025,yes,00:00:00,No,yes
22.06.2025,yes,00:00:00,No,yes
23.06.2025,No,00:00:00,No,no
24.06.2025,No,00:00:00,No,yes
25.06.2025,No,00:00:00,No,yes
01.08.2025,yes,07:00:00,yes,yes
26.06.2025,No,00:00:00,No,no
27.06.2025,yes,00:00:00,No,no
02.08.2025,No,02:30:00,yes,no
27.06.2025,No,00:00:00,No,yes
28.06.2025,yes,00:00:00,No,no
29.06.2025,yes,00:00:00,No,yes
03.08.2025,No,08:00:00,yes,no
30.06.2025,No,00:00:00,No,yes
04.08.2025,No,08:15:00,yes,yes
01.07.2025,No,00:00:00,No,yes
02.07.2025,No,00:00:00,No,yes
03.07.2025,No,00:00:00,No,no
04.07.2025,No,00:00:00,No,yes
05.07.2025,No,00:00:00,No,yes
06.07.2025,No,00:00:00,No,no
07.07.2025,No,00:00:00,No,yes
08.07.2025,No,01:00:00,No,yes
05.08.2025,yes,03:00:00,yes,no
09.07.2025,No,00:00:00,No,yes
06.08.2025,No,00:00:00,No,yes
10.07.2025,No,02:00:00,No,yes
11.07.2025,No,02:00:00,No,no
12.07.2025,No,03:00:00,No,no
07.08.2025,No,01:30:00,No,no
13.07.2025,No,01:00:00,No,no
08.08.2025,No,00:00:00,No,yes
14.07.2025,No,03:00:00,No,yes
15.07.2025,No,00:00:00,No,yes
09.08.2025,No,02:40:00,No,no
16.07.2025,No,01:00:00,No,yes
17.07.2025,No,02:00:00,No,yes
18.07.2025,yes,03:45:00,No,yes
19.07.2025,No,05:30:00,No,yes
20.07.2025,No,02:35:00,No,no
21.07.2025,No,03:20:00,No,yes
10.08.2025,No,02:00:00,No,no
22.07.2025,yes,04:42:00,No,yes
23.07.2025,No,00:00:00,No,no
11.08.2025,yes,01:00:00,No,no
24.07.2025,yes,03:50:00,No,no
12.08.2025,No,02:15:00,No,no
13.08.2025,No,02:00:00,No,yes
14.08.2025,No,03:30:00,No,no
15.08.2025,No,01:45:00,No,yes
25.07.2025,yes,01:00:00,No,no
26.07.2025,yes,02:30:00,No,no
27.07.2025,yes,00:00:00,No,no
16.08.2025,No,05:30:00,No,yes
28.07.2025,yes,06:45:00,yes,yes
29.07.2025,No,05:30:00,yes,yes
17.08.2025,yes,01:15:00,No,no
30.07.2025,No,08:00:00,yes,yes
18.08.2025,No,02:00:00,No,no
31.07.2025,No,05:47:00,yes,yes
19.08.2025,No,03:50:00,No,no
20.08.2025,yes,04:10:00,No,yes
21.08.2025,No,03:45:00,No,no
22.08.2025,No,06:10:00,yes,no
23.08.2025,No,07:40:00,yes,yes
24.08.2025,yes,08:20:00,yes,yes
25.08.2025,yes,08:40:00,yes,yes
26.08.2025,yes,03:15:00,yes,no
01.09.2025,No,00:00:00,No,no
27.08.2025,No,00:00:00,No,yes
02.09.2025,No,00:00:00,No,yes
03.09.2025,No,00:00:00,No,yes
28.08.2025,yes,01:20:00,No,yes
04.09.2025,yes,00:00:00,No,no
05.09.2025,No,00:00:00,No,yes
06.09.2025,No,00:00:00,No,no
07.09.2025,No,00:00:00,No,yes
29.08.2025,No,00:00:00,No,yes
08.09.2025,No,00:00:00,No,yes
09.09.2025,No,00:00:00,No,yes
10.09.2025,No,00:00:00,No,yes
30.08.2025,No,02:30:00,No,no
11.09.2025,No,00:00:00,No,no
12.09.2025,No,00:00:00,No,yes
31.08.2025,No,00:40:00,No,no
13.09.2025,No,00:00:00,No,yes
14.09.2025,No,22:30:00,No,yes
15.09.2025,No,00:00:00,No,no
16.09.2025,No,00:00:00,No,yes
17.09.2025,No,01:00:00,No,no
18.09.2025,No,00:00:00,No,no
14.09.2025,No,00:00:00,No,yes
14.09.2025,No,00:00:00,No,yes
14.09.2025,No,00:00:00,No,yes
19.09.2025,yes,02:30:00,No,yes
20.09.2025,No,00:00:00,No,no
21.09.2025,yes,00:00:00,No,yes
22.09.2025,yes,00:00:00,No,yes
23.09.2025,yes,00:00:00,No,no
24.09.2025,yes,00:00:00,No,yes
25.09.2025,No,00:00:00,No,no
26.09.2025,No,00:00:00,No,yes
27.09.2025,No,00:00:00,No,yes
01.11.2025,No,02:40:00,No,yes
28.09.2025,No,00:00:00,No,yes
29.09.2025,yes,02:30:00,No,no
30.09.2025,No,01:00:00,No,yes
02.11.2025,No,05:45:00,No,no
01.10.2025,No,02:36:00,No,yes
02.10.2025,No,03:27:00,No,yes
03.11.2025,No,20:20:00,yes,yes
03.10.2025,yes,01:30:00,No,yes
04.10.2025,No,00:00:00,No,yes
05.10.2025,No,01:00:00,No,no
04.11.2025,yes,03:40:00,yes,yes
06.10.2025,No,00:30:00,No,no
07.10.2025,No,03:28:00,No,no
08.10.2025,No,01:45:00,No,yes
09.10.2025,yes,02:40:00,No,yes
10.10.2025,No,03:35:00,No,yes
11.10.2025,No,07:30:00,No,yes
05.11.2025,No,07:35:00,yes,yes
12.10.2025,No,02:00:00,No,yes
06.11.2025,yes,08:24:00,yes,yes
13.10.2025,yes,03:00:00,No,yes
14.10.2025,No,04:00:00,No,yes
15.10.2025,No,02:45:00,No,yes
16.10.2025,yes,03:15:00,No,yes
17.10.2025,No,04:25:00,No,no
18.10.2025,No,06:30:00,No,yes
19.10.2025,No,04:25:00,No,yes
20.10.2025,yes,03:00:00,No,yes
21.10.2025,No,04:00:00,No,yes
22.10.2025,yes,05:00:00,No,yes
23.10.2025,yes,02:00:00,No,yes
24.10.2025,No,06:30:00,No,yes
25.10.2025,No,05:00:00,No,yes
07.11.2025,yes,09:12:00,yes,yes
26.10.2025,No,04:00:00,No,yes
27.10.2025,No,05:45:00,No,yes
08.11.2025,yes,06:48:00,yes,yes
28.10.2025,yes,03:00:00,No,no
09.11.2025,yes,03:35:00,yes,no
29.10.2025,No,04:00:00,No,yes
29.10.2025,No,02:00:00,No,yes
30.10.2025,yes,05:00:00,No,yes
31.10.2025,No,02:00:00,No,yes
10.11.2025,No,03:38:00,No,yes
11.11.2025,No,04:48:00,No,yes
12.11.2025,No,06:25:00,yes,yes
13.11.2025,yes,05:47:00,yes,yes
14.11.2025,yes,07:05:00,yes,yes
15.11.2025,yes,02:35:00,yes,no
16.11.2025,No,03:25:00,yes,no
17.11.2025,No,04:52:00,yes,yes
18.11.2025,yes,07:50:00,yes,yes
19.11.2025,yes,08:43:00,yes,yes
20.11.2025,No,07:38:00,yes,yes
21.11.2025,yes,03:28:00,yes,no
22.11.2025,yes,00:00:00,No,no
23.11.2025,yes,02:30:00,No,no
24.11.2025,yes,04:47:00,No,yes
25.11.2025,yes,02:12:00,yes,no
26.11.2025,yes,04:45:00,yes,no
27.11.2025,yes,07:04:00,yes,yes
28.11.2025,yes,08:18:00,yes,yes
